field,type,sum,min,max,range,min_length,max_length,mean,stddev,variance,nullcount,sparsity,mad,lower_outer_fence,lower_inner_fence,q1,q2_median,q3,iqr,upper_inner_fence,upper_outer_fence,skewness,cardinality,mode,mode_count,mode_occurrences,antimode,antimode_count,antimode_occurrences
Overall rank,Integer,12246,1,156,155,1,3,78.5,45.0324,2027.9167,0,0,39,-194.5,-77.5,39.5,78.5,117.5,78,234.5,351.5,0,156,,0,0,*ALL,0,1
Country or region,String,,Afghanistan,Zimbabwe,,4,24,,,,0,0,,,,,,,,,,,156,,0,0,*ALL,0,1
Score,Float,843.507,2.853,7.769,4.916,5,5,5.4071,1.1095,1.2311,0,0,0.819,-0.397,2.072,4.541,5.3795,6.187,1.646,8.656,11.125,-0.0188,155,5.208,1,2,"*PREVIEW: 2.853,3.083,3.203,3.231,3.334,3.380,3.410,3.462,3.488,3.597",154,1
GDP per capita,Float,141.203,0.0,1.684,1.684,5,5,0.9051,0.3971,0.1577,0,0,0.3005,-1.324,-0.3647,0.5945,0.96,1.234,0.6395,2.1932,3.1525,-0.1431,146,0.960,1,3,"*PREVIEW: 0.000,0.026,0.046,0.073,0.094,0.138,0.191,0.204,0.268,0.275",137,1
Social support,Float,188.575,0.0,1.624,1.624,5,5,1.2088,0.2982,0.0889,0,0,0.1885,-0.137,0.4592,1.0555,1.2715,1.453,0.3975,2.0492,2.6455,-0.0868,145,1.465,1,3,"*PREVIEW: 0.000,0.378,0.437,0.447,0.517,0.560,0.572,0.575,0.666,0.688",135,1
Healthy life expectancy,Float,113.138,0.0,1.141,1.141,5,5,0.7252,0.2413,0.0582,0,0,0.1745,-0.4695,0.0375,0.5445,0.789,0.8825,0.338,1.3895,1.8965,-0.4467,119,"0.815,0.999",2,5,"*PREVIEW: 0.000,0.105,0.168,0.192,0.232,0.242,0.245,0.268,0.295,0.308",92,1
Freedom to make life choices,Float,61.241,0.0,0.631,0.631,5,5,0.3926,0.1428,0.0204,0,0,0.099,-0.2945,0.0062,0.307,0.417,0.5075,0.2005,0.8083,1.109,-0.0973,130,"0.498,0.508,0.557",3,3,"*PREVIEW: 0.000,0.010,0.013,0.026,0.066,0.067,0.086,0.142,0.143,0.148",107,1
Generosity,Float,28.836,0.0,0.566,0.566,5,5,0.1848,0.0949,0.009,0,0,0.0695,-0.3145,-0.103,0.1085,0.1775,0.2495,0.141,0.461,0.6725,0.0213,118,0.153,1,4,"*PREVIEW: 0.000,0.025,0.035,0.036,0.046,0.047,0.058,0.059,0.064,0.066",88,1
Perceptions of corruption,Float,17.254,0.0,0.453,0.453,5,5,0.1106,0.0942,0.0089,0,0,0.0445,-0.2365,-0.0947,0.047,0.0855,0.1415,0.0945,0.2832,0.425,0.1852,113,"0.028,0.078,0.089",3,4,"*PREVIEW: 0.000,0.004,0.005,0.010,0.014,0.016,0.020,0.022,0.023,0.024",85,1
